,y_pred,x_ant,x_atual,flag,x_antp,x_atualp,acc_x,acc_y,acc_z,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update
96,41.814713,37,41,0,37,41,0.10,0,-0.03,79,26,32,101
97,43.862480,41,43,0,41,43,0.12,0.01,-0.08,67,31,31,99
98,46.938835,43,46,0,43,46,0.10,-0.01,0.01,85,26,34,94
99,50.017750,46,49,0,46,49,0.06,0,0.01,63,24,36,92
100,52.068569,49,51,0,49,51,0.10,-0.01,0.01,80,28,34,94
101,53.088840,51,52,0,51,52,0.11,-0.03,0.02,68,26,32,102
102,55.140213,52,54,0,52,54,-0.03,-0.01,0.04,80,24,28,134
103,56.159801,54,55,0,54,55,0.10,0.03,0.05,63,24,44,99
104,56.147076,55,55,0,55,55,0.06,0.03,0.10,111,24,41,103
105,57.166309,55,56,0,55,56,0.01,-0.04,0.03,65,24,36,99
106,56.121845,56,55,0,56,55,0.08,-0.07,0.12,108,35,29,98
107,53.019386,55,52,0,55,52,0.10,0.01,0.15,67,24,41,103
108,48.897549,52,48,0,52,48,0.09,-0.02,0.21,69,27,31,106
109,42.737511,48,42,0,48,42,0.13,-0.04,0.27,84,29,31,102
110,36.597240,42,36,0,42,36,0.06,-0.03,0.25,65,35,32,104
111,28.434837,36,28,0,36,28,0.08,-0.02,0.32,75,24,29,104
112,20.294371,28,20,0,28,20,0.07,-0.01,0.19,64,29,29,98
113,17.246344,20,17,0,20,17,0.07,0.02,0.12,80,29,32,103
114,19.277298,17,19,0,17,19,0.06,0.01,-0.06,63,24,28,102
115,23.341387,19,23,0,19,23,0.01,0.03,-0.05,70,24,29,104
116,28.426201,23,28,0,23,28,-0.03,0.03,-0.20,68,26,31,104
117,33.517326,28,33,0,28,33,0.08,-0.01,-0.16,80,29,32,97
118,37.595192,33,37,0,33,37,0.09,0,0,73,29,32,97
119,40.656151,37,40,0,37,40,0.09,-0.01,0.02,72,24,31,108
120,43.719742,40,43,0,40,43,0.05,0.04,0.05,70,34,42,103
121,44.738369,43,44,0,43,44,0.11,0.12,0.05,89,24,32,96
122,46.780983,44,46,0,44,46,0.16,-0.03,-0.04,77,28,32,96
123,48.824444,46,48,0,46,48,0.13,0.01,-0.01,80,24,29,113
124,49.843067,48,49,0,48,49,0.18,0.02,-0.07,78,27,37,104
125,50.861614,49,50,0,49,50,0.13,0,-0.07,75,29,42,103
126,50.854153,50,50,0,50,50,0.16,-0.01,-0.04,72,29,28,99
127,50.846809,50,50,0,50,50,0.04,0.04,-0.03,87,31,34,94
128,51.865078,50,51,0,50,51,0.09,0.02,-0.09,63,24,42,106
129,51.857452,51,51,0,51,51,0.14,-0.01,-0.01,72,24,32,108
130,51.849949,51,51,0,51,51,0.19,-0.03,0.05,74,26,28,97
131,50.817535,51,50,0,51,50,0.18,-0.03,0.06,78,24,32,102
132,48.762417,50,48,0,50,48,0.18,-0.01,0.13,63,24,29,112
133,42.622189,48,42,0,48,42,0.21,-0.07,0.16,70,24,31,106
134,32.427162,42,32,0,42,32,0.12,-0.04,0.36,65,37,31,97
135,23.284216,32,23,0,32,23,0.11,-0.03,0.18,75,29,34,98
136,19.228603,23,19,0,23,19,0.07,-0.25,-0.03,72,34,42,117
137,19.228331,19,19,0,19,19,0.05,0.07,-0.11,72,24,34,93
138,22.268267,19,22,0,19,22,0.19,-0.01,-0.05,68,26,32,108
139,27.338724,22,27,0,22,27,0.15,0,-0.16,68,27,36,103
140,31.399317,27,31,0,27,31,0.09,-0.01,-0.13,84,27,41,98
141,34.447311,31,34,0,31,34,0.07,0.01,-0.06,68,31,29,102
142,36.480125,34,36,0,34,36,0.12,-0.04,-0.14,70,24,29,108
143,40.550838,36,40,0,36,40,0.08,-0.03,-0.12,67,26,31,101
144,44.626717,40,44,0,40,44,0.04,-0.02,-0.06,78,36,29,99
145,48.708054,44,48,0,44,48,0.05,-0.02,0.04,74,24,29,102
146,50.748108,48,50,0,48,50,0.12,-0.02,0.10,75,24,41,99
147,51.765244,50,51,0,50,51,0.10,-0.06,0.11,72,35,42,103
148,51.758560,51,51,0,51,51,0.20,-0.03,0.12,80,31,41,98
149,52.775566,51,52,0,51,52,0.34,-0.03,0.05,64,24,29,107
150,55.841351,52,55,0,52,55,0.33,-0.02,0.04,75,27,32,96
151,57.883850,55,57,0,55,57,0.19,0,0.04,75,24,42,97
152,59.927036,57,59,0,57,59,0.10,-0.02,0.05,64,26,31,101
153,60.943581,59,60,0,59,60,0.11,-0.02,0.11,70,24,32,102
154,60.932823,60,60,0,60,60,0.14,0.01,0.12,72,37,42,102
155,58.869827,60,58,0,60,58,0.19,-0.02,0.19,88,24,31,97
156,57.835728,58,57,0,58,57,0.21,0.03,0.25,70,26,35,94
157,54.755642,57,54,0,57,54,0.18,-0.03,0.20,109,24,32,96
158,51.682316,54,51,0,54,51,0.26,-0.01,0.03,75,29,31,102
159,51.676971,51,51,0,51,51,0.08,-0.02,0.12,78,24,32,93
160,50.650894,51,50,0,51,50,0.14,0.03,0.08,77,24,32,99
161,47.586292,50,47,0,50,47,0.18,-0.02,0.19,80,26,29,103
162,43.508904,47,43,0,47,43,0.20,-0.01,0.15,70,26,42,102
163,37.407238,43,37,0,43,37,0.15,-0.02,0.20,84,31,41,98
164,29.292475,37,29,0,37,29,0.03,-0.02,0.27,75,24,31,102
165,23.219490,29,23,0,29,23,-0.20,-0.01,0.33,78,24,42,102
166,19.175806,23,19,0,23,19,-0.19,-0.02,0.24,77,29,29,103
167,18.165342,19,18,0,19,18,-0.24,0.02,0.23,72,26,28,104
168,19.175396,18,19,0,18,19,-0.20,0.02,0.24,72,31,31,97
169,19.175201,19,19,0,19,19,-0.20,-0.06,0.07,78,24,36,109
170,21.195889,19,21,0,19,21,0,0.04,-0.11,68,24,32,103
171,26.250679,21,26,0,21,26,0.08,0.01,-0.03,70,26,31,106
172,31.310862,26,31,0,26,31,-0.04,0.03,-0.03,72,29,28,103
173,36.377449,31,36,0,31,36,-0.01,0,-0.04,78,26,31,108
174,41.451378,36,41,0,36,41,-0.05,0.01,0.06,74,27,37,106
175,44.498909,41,44,0,41,44,0.01,0.02,0.06,77,24,34,144
176,46.531155,44,46,0,44,46,0,0.04,0.04,72,34,42,103
177,47.545883,46,47,0,46,47,-0.19,0.03,-0.04,75,24,31,102
178,50.598778,47,50,0,47,50,-0.20,0.06,-0.06,74,24,32,97
179,52.634079,50,52,0,50,52,-0.07,0.02,-0.07,70,29,32,96
180,55.691608,52,55,0,52,55,-0.07,0.01,-0.03,82,35,41,103
181,57.729355,55,57,0,55,57,0.05,0.01,0.02,73,34,42,102
182,58.744873,57,58,0,57,58,0.12,-0.01,0.08,80,34,42,103
183,58.737324,58,58,0,58,58,0.07,0.02,0.04,73,34,42,102
184,57.707481,58,57,0,58,57,0.06,0.01,0.16,80,37,42,103
185,55.657585,57,55,0,57,55,0.08,-0.01,0.02,80,35,42,102
186,53.610985,55,53,0,55,53,0.06,0,0.10,80,34,42,103
187,50.548573,53,50,0,53,50,-0.06,-0.01,0.11,72,34,42,103
188,48.508934,50,48,0,50,48,-0.13,-0.07,0.13,72,24,42,103
189,46.471767,48,46,0,48,46,-0.12,0.02,0.09,73,37,42,102
190,43.421268,46,43,0,46,43,0.13,-0.05,0.19,88,32,42,102
191,38.346867,43,38,0,43,38,0.09,-0.07,0.22,65,34,42,103
192,29.235144,38,29,0,38,29,0.11,-0.04,0.35,70,24,29,108
193,21.155827,29,21,0,29,21,0.10,-0.03,0.13,78,34,42,103
194,17.121843,21,17,0,21,17,0.09,-0.21,0.04,80,37,42,103
195,18.129795,17,18,0,17,18,0.18,0.10,-0.12,80,34,42,102
196,24.180534,18,24,0,18,24,0.05,0.01,-0.16,72,24,42,103
197,28.218239,24,28,0,24,28,0.07,0.01,-0.12,68,35,28,104
198,33.270405,28,33,0,28,33,0.05,-0.02,-0.05,70,24,37,102
199,38.329163,33,38,0,33,38,0.06,-0.14,-0.03,69,39,34,134
200,42.381428,38,42,0,38,42,0.07,-0.06,0.01,78,34,42,103
201,47.454254,42,47,0,42,47,-0.06,0.01,-0.03,64,24,31,104
202,51.518425,47,51,0,47,51,0.02,-0.03,0.03,72,24,29,102
203,53.550724,51,53,0,51,53,0.02,-0.06,0.08,75,29,32,101
204,56.603485,53,56,0,53,56,0.04,-0.02,0.05,80,37,42,103
205,57.617992,56,57,0,56,57,-0.02,-0.04,0.06,68,24,42,103
206,59.653259,57,59,0,57,59,-0.02,0,0.18,72,29,42,122
207,58.625813,59,58,0,59,58,-0.03,0.01,0.19,63,27,34,94
208,58.619778,58,58,0,58,58,-0.01,-0.02,0.04,75,26,42,98
209,58.613857,58,58,0,58,58,0,0.02,0.16,64,24,42,102
210,58.608051,58,58,0,58,58,0.04,-0.01,0.15,78,31,31,98
211,56.563457,58,56,0,58,56,0.02,0.01,0.16,72,34,42,102
212,51.469193,56,51,0,56,51,0.05,0,0.30,67,24,29,98
213,45.373161,51,45,0,51,45,0.10,-0.05,0.38,82,41,29,139
214,38.280533,45,38,0,45,38,0.03,-0.04,0.26,78,24,42,102
215,32.215279,38,32,0,38,32,0.10,-0.06,0.31,75,24,28,103
216,23.136059,32,23,0,32,23,0.12,-0.03,0.38,73,34,42,103
217,23.272923,23,16,1,23,23.272923,0.04,-0.15,0.04,80,34,41,103
218,19.107161,23.136059,19,0,23.136059,19,0.05,0.08,-0.07,73,34,42,102
219,24.141628,19,24,0,19,24,-0.05,0.04,-0.10,70,24,41,103
220,31.197380,24,31,0,24,31,0.09,0.01,-0.15,80,34,41,103
221,37.254528,31,37,0,31,37,0.08,0,-0.07,80,32,42,103
222,42.309986,37,42,0,37,42,-0.01,0.04,0.01,63,24,42,103
223,46.359890,42,46,0,42,46,0.04,0.03,-0.04,72,24,42,103
224,49.400360,46,49,0,46,49,0.09,0.01,0.06,80,34,41,103
225,51.428082,49,51,0,49,51,0.04,0,0.02,80,32,42,103
226,52.440777,51,52,0,51,52,0.01,-0.01,-0.06,73,34,42,102
227,53.453602,52,53,0,52,53,0.19,-0.04,0.02,72,24,42,102
228,54.466549,53,54,0,53,54,-0.07,0.02,-0.02,73,37,42,103
229,54.462757,54,54,0,54,54,0.07,-0.01,0.03,88,34,42,103
230,54.459019,54,54,0,54,54,0.08,-0.03,-0.03,70,24,41,103
231,55.471943,54,55,0,54,55,0.12,0.01,0.09,72,35,42,103
232,57.502220,55,57,0,55,57,0.10,0,0.03,80,32,42,103
233,57.497784,57,57,0,57,57,0.08,-0.02,0,72,37,42,103
234,56.476151,57,56,0,57,56,0.08,-0.02,0.07,88,32,41,103
235,53.423016,56,53,0,56,53,0.11,-0.04,0.16,80,34,42,103
236,46.318970,53,46,0,53,46,0.10,-0.05,0.23,88,34,42,103
237,38.224907,46,38,0,46,38,0.09,-0.02,0.36,80,35,42,103
238,29.144648,38,29,0,38,29,0.09,-0.03,0.33,72,28,42,103
239,20.085619,29,20,0,29,20,0.10,-0.01,0.12,67,24,42,102
240,18.075043,20,18,0,20,18,0.05,0.01,0.02,75,34,42,103
241,20.085255,18,20,0,18,20,0.13,0,-0.05,72,34,41,103
242,25.113270,20,25,0,20,25,0.11,0,-0.08,80,34,42,102
243,31.152987,25,31,0,25,31,0.11,0.03,-0.08,70,24,42,103
244,35.184258,31,35,0,31,35,0.11,0.05,-0.03,80,34,42,103
245,39.219761,35,39,0,35,39,0.07,0,-0.03,80,34,41,103
246,43.259930,39,43,0,39,43,0.06,0.01,-0.03,73,34,42,103
247,46.293144,43,46,0,43,46,0.08,-0.01,-0.05,118,24,31,145
248,48.316368,46,48,0,46,48,0.01,0.01,-0.03,80,37,42,103
249,51.354355,48,51,0,48,51,0.01,0.01,0.02,87,35,42,103
250,53.380539,51,53,0,51,53,0,0.02,0.13,72,34,42,102
251,56.423454,53,56,0,53,56,0.02,0,0.05,80,32,42,103
252,57.436043,56,57,0,56,57,0,0.01,0.06,63,24,42,103
253,59.465607,57,59,0,57,59,0.02,-0.01,0.01,80,36,42,103
254,59.461246,59,59,0,59,59,0.05,0.01,0.10,80,34,42,103
255,61.491650,59,61,0,59,61,0.05,0.03,0.02,80,32,42,102
256,61.486816,61,61,0,61,61,0.07,0,0.01,72,34,42,103
257,62.499874,61,62,0,61,62,0.01,0.01,0.08,80,32,42,103
258,63.512997,62,63,0,62,63,0.12,0.02,0.07,73,37,42,103
259,63.507778,63,63,0,63,63,0.04,0.06,0.08,75,24,42,103
260,63.502663,63,63,0,63,63,0.03,0,0.06,73,35,42,103
261,63.497646,63,63,0,63,63,0.04,-0.02,0.03,80,32,42,103
262,63.492737,63,63,0,63,63,0.08,0,-0.02,73,34,42,103
263,63.487915,63,63,0,63,63,0.04,0.02,0.08,80,35,42,103
264,62.465981,63,62,0,63,62,0.07,0,0.04,80,34,42,103
265,61.445045,62,61,0,62,61,0.06,-0.01,0.06,70,24,42,103
266,59.409340,61,59,0,61,59,0.10,-0.02,-0.03,72,34,42,103
267,58.390919,59,58,0,59,58,0.08,-0.01,0.01,72,24,42,103
268,57.373295,58,57,0,58,57,0.08,-0.01,-0.03,72,37,42,103
269,57.370438,57,57,0,57,57,0.12,0.01,0.04,75,24,42,103
270,57.367619,57,57,0,57,57,0.11,-0.01,0.07,64,24,41,103
271,57.364841,57,57,0,57,57,0.07,-0.02,0,80,34,42,103
