"Name","Threshold","FlagCorrection","N_outlier_max","FilterOrder","Forgetting","Regularization","accuracy","f1_score","recall","rmse_pred","rmse_saved","mae_pred","mae_saved"
"icy-sweep-4","2.5","true","1","2","0.5","0.1","0.984375","0.8051948051948051","0.8378378378378378","144.968020318433","134.7861152189775","44.678084276717755","23.297191101522873"
"zany-sweep-220","2.5","false","1","2","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.9809001638032","134.59415001308835","29.775129728488416","24.653492980308013"
"feasible-sweep-516","2.5","true","1","3","1","10","0.984375","0.8051948051948051","0.8378378378378378","132.83563198744687","130.3928222787342","27.59229605863799","22.387256505980027"
"fearless-sweep-940","2.5","false","1","4","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.98870182368682","134.6144600829568","29.594973800456383","24.68541649912004"
"efficient-sweep-480","2.5","true","1","3","0.999","10","0.984375","0.8051948051948051","0.8378378378378378","132.819234553123","130.37566846537015","27.594883673405736","22.38708828176812"
"crisp-sweep-372","2.5","true","1","3","0.5","10","0.984375","0.8051948051948051","0.8378378378378378","144.60880558482268","134.8928025467926","44.37294755413564","23.322183057185445"
"jolly-sweep-908","2.5","false","1","4","0.5","1","0.984375","0.8051948051948051","0.8378378378378378","156.14401942786978","150.40695038340414","46.181636906564776","27.68158764747287"
"ruby-sweep-224","2.5","false","1","2","0.98","1","0.984375","0.8051948051948051","0.8378378378378378","136.9809006585091","134.59415008475352","29.77513615815771","24.653493780651356"
"playful-sweep-904","2.5","false","1","4","0.5","0.1","0.984375","0.8051948051948051","0.8378378378378378","156.14402226597653","150.40695255515178","46.18163760117797","27.68158832225322"
"clear-sweep-508","2.5","true","1","3","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.83573448752068","130.3929368120707","27.592189748045893","22.387270699420647"
"young-sweep-444","2.5","true","1","3","0.99","10","0.984375","0.8051948051948051","0.8378378378378378","132.4906365272875","130.02065994588588","27.600856800382953","22.355054820624733"
"gallant-sweep-400","2.5","true","1","3","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","132.0995199152865","129.53823381208852","28.611810513472996","22.29553400270093"
"rich-sweep-40","2.5","true","1","2","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","131.78282691877462","129.09748484298714","29.41628268592757","22.234773716853933"
"sweepy-sweep-328","2.5","false","1","2","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.4243358414064","135.1084988878494","28.810415887695264","24.981271724849485"
"fluent-sweep-616","2.5","false","1","3","0.99","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.18925535835015","134.86421584626729","28.737653895449338","24.82027155291182"
"skilled-sweep-992","2.5","false","2","4","0.99","1","0.984375","0.8051948051948051","0.8378378378378378","137.18602863004404","134.86173541053918","28.73320339719036","24.838020928675533"
"celestial-sweep-348","2.5","false","2","2","1","10","0.984375","0.8051948051948051","0.8378378378378378","137.4243540654014","135.10851036349604","28.810550608746055","24.981285957878143"
"good-sweep-452","2.5","true","2","3","0.99","1","0.984375","0.8051948051948051","0.8378378378378378","136.07394693244933","133.7285577173008","27.54249876804487","23.59110710284818"
"elated-sweep-852","2.5","true","2","4","0.999","10","0.984375","0.8051948051948051","0.8378378378378378","136.06102527118534","133.72075873149848","27.34780158005627","23.583022584207217"
"stellar-sweep-700","2.5","false","2","3","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.44506992725996","135.12896882568322","28.774068010147168","24.98897603805282"
"crimson-sweep-448","2.5","true","2","3","0.99","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.07394867464484","133.72855996634027","27.54248989332528","23.59110756441604"
"charmed-sweep-380","2.5","true","2","3","0.5","1","0.984375","0.8051948051948051","0.8378378378378378","150.21090725897218","143.94030364268406","44.10993729850455","25.01684311092797"
"exalted-sweep-340","2.5","false","2","2","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.4243358414064","135.1084988878494","28.810415887695264","24.981271724849485"
"brisk-sweep-952","2.5","false","2","4","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.98870182368682","134.6144600829568","29.594973800456383","24.68541649912004"
"twilight-sweep-236","2.5","false","2","2","0.98","1","0.984375","0.8051948051948051","0.8378378378378378","136.9809006585091","134.59415008475352","29.77513615815771","24.653493780651356"
"vague-sweep-736","2.5","true","2","4","0.5","0.1","0.984375","0.8051948051948051","0.8378378378378378","147.65102804517824","141.89619459257534","42.94487880063984","24.777792102300488"
"elated-sweep-592","2.5","false","2","3","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.00408103881966","134.62459396256477","29.65722957819857","24.671169020035464"
"vocal-sweep-924","2.5","false","2","4","0.5","10","0.984375","0.8051948051948051","0.8378378378378378","156.1439909818145","150.40692861613203","46.181629944506206","27.68158088419064"
"pretty-sweep-1064","2.5","false","2","4","1","1","0.984375","0.8051948051948051","0.8378378378378378","137.44127003926258","135.12423124626906","28.77968295866905","25.00198976301599"
"stilted-sweep-916","2.5","false","2","4","0.5","0.1","0.984375","0.8051948051948051","0.8378378378378378","156.14402226597653","150.40695255515178","46.18163760117797","27.68158832225322"
"lilac-sweep-60","2.5","true","2","2","0.98","10","0.984375","0.8051948051948051","0.8378378378378378","136.13422363868898","133.73030487704085","28.78247234990463","23.608884375853755"
"stellar-sweep-272","2.5","false","2","2","0.99","1","0.984375","0.8051948051948051","0.8378378378378378","137.1612871278275","134.83464484029125","28.788721283659076","24.811112749312244"
"rare-sweep-672","2.5","false","2","3","0.999","10","0.984375","0.8051948051948051","0.8378378378378378","137.42073879383764","135.10582753731006","28.688436158066807","24.974436118265245"
"serene-sweep-232","2.5","false","2","2","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.9809001638032","134.59415001308835","29.775129728488416","24.653492980308013"
"wild-sweep-772","2.5","true","2","4","0.98","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.06980233479266","133.67668727445363","28.567588333779693","23.593575185010188"
"vague-sweep-776","2.5","true","2","4","0.98","1","0.984375","0.8051948051948051","0.8378378378378378","136.06979980145115","133.6766843115974","28.56759185882638","23.593574707182235"
"amber-sweep-664","2.5","false","2","3","0.999","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.42072795522876","135.1058231105264","28.688318786622013","24.974420727273387"
"silvery-sweep-88","2.5","true","2","2","0.99","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.0700531138942","133.72358162845933","27.60373928330696","23.595538890203095"
"dauntless-sweep-560","2.5","false","2","3","0.5","1","0.984375","0.8051948051948051","0.8378378378378378","160.3833880900295","154.13800747469844","47.919503399517296","28.342034698270854"
"celestial-sweep-632","2.5","false","2","3","0.99","1","0.984375","0.8051948051948051","0.8378378378378378","137.1892557874451","134.8642158105602","28.73766475415094","24.820272825123094"
"neat-sweep-960","2.5","false","2","4","0.98","10","0.984375","0.8051948051948051","0.8378378378378378","136.98869812645805","134.61445210981404","29.595034037222156","24.685426458378075"
"worldly-sweep-888","2.5","true","2","4","1","10","0.984375","0.8051948051948051","0.8378378378378378","136.06467820933892","133.72294875870298","27.412627962378185","23.587399594293665"
"colorful-sweep-520","2.5","true","2","3","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.10057299133626","133.76108402908764","27.376763082469513","23.583877103560734"
"good-sweep-816","2.5","true","2","4","0.99","10","0.984375","0.8051948051948051","0.8378378378378378","136.0335826025453","133.688067788567","27.524818240651065","23.582764994916424"
"magic-sweep-1032","2.5","false","2","4","0.999","10","0.984375","0.8051948051948051","0.8378378378378378","137.41640903630332","135.10047287703588","28.704863667162208","24.987714845437463"
"genial-sweep-996","2.5","false","2","4","0.99","10","0.984375","0.8051948051948051","0.8378378378378378","137.18603183630526","134.86173368996788","28.73331696904741","24.83803480050874"
"spring-sweep-812","2.5","true","2","4","0.99","1","0.984375","0.8051948051948051","0.8378378378378378","136.0336040826805","133.68809464469393","27.5247247876679","23.582770000653476"
"swift-sweep-164","2.5","true","2","2","1","1","0.984375","0.8051948051948051","0.8378378378378378","136.09784624610333","133.75898216581905","27.417874996766574","23.58257387684893"
"rich-sweep-528","2.5","true","2","3","1","10","0.984375","0.8051948051948051","0.8378378378378378","136.10055740591207","133.7610613776169","27.376865939598897","23.583878232602775"
"rosy-sweep-484","2.5","true","2","3","0.999","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.09780319020433","133.75975394343874","27.311381143698192","23.583752242638347"
"balmy-sweep-636","2.5","false","2","3","0.99","10","0.984375","0.8051948051948051","0.8378378378378378","137.18926007832522","134.86421545392264","28.73777328859586","24.820285541024305"
"skilled-sweep-1060","2.5","false","2","4","1","0.1","0.984375","0.8051948051948051","0.8378378378378378","137.4412691009773","135.1242309464602","28.779672033377228","25.00198825262415"
"faithful-sweep-808","2.5","true","2","4","0.99","0.1","0.984375","0.8051948051948051","0.8378378378378378","136.03360623194905","133.68809733163857","27.52471543783641","23.582770501466054"
